	0
5507	Og lad mig så lige påpege, at der jo i dag allerede er mulighed for, at færinger og grønlændere kan aftjene værnepligten, hvis de er bosat i Danmark.
5508	Forsvarets informationsdag afholdes nu muligvis også fremadrettet i Grønland, og det er dermed også muligt at lade sig rekruttere helt frivilligt til forsvaret.
5509	Tak til ordføreren.
5510	Og den næste er hr. René Gade, Alternativet.
5511	Værsgo.
5512	Tak for det.
5513	Meget apropos, havde vi i Alternativet vores første politikudvikling på freds- og forsvarsområdet i sidste uge, og det foregik faktisk netop i Grønland.
5514	Jeg ikke hørt endnu, hvordan det gik, ud over at have fået nogle positive meldinger deroppefra.
5515	Og vi er som udgangspunkt ikke for en værnepligt som den, vi ser i dag, heller ikke isoleret set uden Grønland og Færøerne.
5516	Desuden er det jo en stor beslutning, netop hvis det rent faktisk bliver sådan, at man kommer til at tvinge de færøske og grønlandske borgere til at skulle indrulleres i forhold til en værnepligt.
5517	Der tror vi det kræver en større diskussion, hvis vi endelig skulle stemme ja.
5518	Men i forhold til at det er hele rigsfællesskabet, der skal have samme vilkår, altså at det skal ligestilles, er jeg egentlig meget på linje med forslagsstillerne.
5519	Det synes vi også i Alternativet.
5520	Der er en enkelt kort bemærkning fra fru Aaja Chemnitz Larsen.
5521	Værsgo.
5522	Mange tak til ordføreren.
5523	Hvordan stiller Alternativet sig i den sag?
5524	Ordføreren.
5525	Jamen i Alternativet har vi jo af gode grunde endnu ikke selv været med i et forsvarsforlig.
5526	Vi har simpelt hen ikke haft mulighed for det.
5527	Der er på visse punkter også lang vej til, at vi måske kommer til det, men vi vil i hvert fald gøre vores til at komme til det.
5528	På samme måde synes jeg, det med al rimelighed burde være sådan, at IA også skulle have mulighed for det, hvis ellers de politiske holdninger kunne mødes i et forsvarsforlig.
5529	Jeg vil også sige, at grunden til, at jeg ikke nævnte samarbejdet med netop IA i forbindelse med vores politikudvikling i sidste uge, egentlig var, at jeg ville gå lidt nænsomt.
5530	For vi er jo ikke to ens partier, og jeg synes, det var så stærkt, at IA ville være med til at bakke op om initiativet, så jeg ville ikke tage nogen til indtægt for Alternativets politik.
5531	Men det var nemlig i et samarbejde med IA, og vi fik et meget, meget stort udbytte af det.
5532	Spørgeren.
5533	Mange tak.
5534	Det er netop to forskellige partier, og det er to forskellige, hvad skal man sige, fokusområder, vi har.
5535	Men ethvert godt initiativ bakker vi rigtig gerne op om, så jeg vil bare kvittere for det gode samarbejde i den her sag.
5536	Ordføreren.
5537	Tak – og i lige måde.
5538	Dermed siger vi tak til ordføreren.
5539	Og så er vi nået til den radikale ordfører, nemlig hr. Kristian Hegaard, som taler fra sin plads.
5540	Værsgo.
5541	Tak.
5542	Radikale Venstre mener heller ikke, at værnepligten skal udvides til Grønland og Færøerne, bl.a. fordi vi principielt ikke mener, at man skal udvide værnepligten generelt.
5543	Det er ikke nogen hemmelighed, at værnepligten ikke er den mest effektive uddannelse, når man skal foretage en samlet prioritering.
5544	Der er alligevel ikke plads til alle værnepligtige i den senere uddannelse.
5545	Alene derfor synes vi ikke, at vi skal udvide værnepligten, for det er ganske enkelt ikke det, der imødekommer fremtidens udfordringer.
5546	For mens der bliver taget 50 armbøjninger af hypotetisk nye værnepligtige fra Grønland og Færøerne, vil Danmark blive udsat for endnu et cyberangreb.
5547	Det er netop cyberangreb, der er den væsentligste direkte trussel mod Danmark, og det kræver viden, eksperter og fikse fingre på tastaturet, ikke flere værnepligtige.
5548	Det er glædeligt at konstatere, at der var et godt fremmøde til Grønlands svar på Forsvarets Dag, men det siger ikke noget om, at vi nu skal til at udbrede tvang og pligt.
5549	Vi skal lade dem, der frivilligt vil gøre en karriere, gøre det.
5550	Det kan vi gøre uden at udvide værnepligten, men i stedet ved at satse på dem, der vil, på de professionelle.
5551	Det behøver ikke være en udvidelse af en mindre effektiv uddannelse.
5552	Vi må nok være ærlige og sige, at en udvidelse af værnepligten på eksempelvis Grønland ikke ville få den fjerneste betydning for situationen omkring Arktis.
5553	Radikale Venstre kan altså ikke se argumenterne for at udvide værnepligten og er derfor imod beslutningsforslaget.
5554	Tak til ordføreren.
5555	Så går det lige pludselig stærkt, fordi SF's ordfører kan jeg ikke se og heller ikke den konservative ordfører.
5556	Så har vi fra det nordatlantiske, og vi går til hr. Magni Arge fra T, som får ordet.
5557	Værsgo.
5558	I dag, den 25. april, fejrer vi Færøernes flagdag, og det har vi gjort hvert år siden 1940. Det er en national fridag, hvor vi fejrer den færøske identitet som folk og nation.
5559	Overalt på Færøerne og rundtomkring i verden hejser vi det færøske flag til tops.
5560	Flagdagen fejres selvfølgelig også i hans lille hjembygd, Fámjin, såvel som i London, hvor vicelagmanden får lejlighed til at sætte Færøerne på dagsordenen.
5561	Men i Folketinget flager man ikke med det færøske flag den 25. april – den eneste højtidsdag, som har en ren færøsk oprindelse.
5562	Det officielle Danmark besluttede i stedet at markere den 29. juli som færøsk flagdag i Danmark.
5563	Det har måske en historisk forklaring.
5564	Den 25. april 1940 anerkendte det engelske admiralitet officielt brugen af det færøske Merkið som symbol for færøsk nationalitet på alle færøske skibe under allieret kontrol.
5565	Skibe med dannebrog blev derimod identificeret som potentielt fjendtlige.
5566	Sådan var virkeligheden i april 1940, da Danmark var besat af Tyskland og englænderne påtog sig forsvaret af Færøerne.
5567	De danske myndigheder protesterede mod anerkendelse af det færøske flag, som de anså for et rebel emblem, men i 1948 anerkendte også Danmark det færøske flag.
5568	I dagene mellem Danmarks besættelse og den britiske flådes ankomst til Færøerne besluttede det færøske Lagting at erklære Færøerne som et land, der ikke deltog i krigshandlinger.
5569	Og den beslutning står stadig væk ved magt.
5570	Så sent som i 2003 sagde det færøske Lagting nej til at involvere Færøerne i krigen i Irak.
5571	Indsatsen kostede flere end 210 færinger livet og en tredjedel af den færøske fiskerflåde blev sænket.
5572	Forholdsmæssigt led vi store tab, og i 1993 anerkendte Folketinget de færøske søfolks indsats og tildelte dem krigspension på linje med andre søfolk, som tjente de allieredes interesser.
5573	Blandt begrundelserne er formuleringer som, at alle dele af rigsfællesskabet skal ligestilles.
5574	Vi kan godt overtage dem i morgen, og så er vi kvit og frit.
5575	Skal vi tale konstruktivt om en ligeværdig indsats på det forsvarsmæssige område, skal vi ikke tale om værnepligt, men om de store politiske linjer og den strategiske indsats i Nordatlanten.
5576	Den ambition har dette forslag ikke, og jeg kan derfor ikke anbefale dette høje Ting at stemme for forslaget.
5577	Foreløbig tak til ordføreren.
5578	Der er en kort bemærkning fra Aaja Chemnitz.
5579	Mange tak for den lille slagsang, og jeg går også ud fra, det også er på sin plads at ønske tillykke med flagdagen.
5580	På Færøerne har Arktisk Kommando et relativt lille kontor, som ordføreren også var inde på i sin tale, mens tingene, hvad angår Arktisk Kommando i Grønland, ser en lille smule anderledes ud.
5581	Ordføreren.
5582	Tak.
5583	Spørgeren.
5584	Ordføreren.
5585	Jeg kan godt forstå, hvis man i en grønlandsk sammenhæng gerne vil være med i forsvarsforliget.
5586	Jeg er ikke så sikker på, hvor relevant det er fra færøsk side at gøre det igennem de færøske repræsentanter her i Folketinget.
5587	Det har jeg også fortalt forsvarsministeren – i hvert fald den forhenværende.
5588	Næste spørger er fru Aleqa Hammond.
5589	Forslagsstillerne bruger ordene ligestilling mellem alle dele af rigsfællesskabet.
5590	Og jeg bed mærke i, at den sætning bliver brugt som overskrift i forslaget.
5591	Jeg vil spørge ordføreren, om han mener, at der er ligestilling mellem alle dele af rigsfællesskabet, siden det bliver taget op, at der skal ligestilles.
5592	Ordføreren.
5593	Jeg må sige til fru Aleqa Hammond, at jeg er lige så overrasket, som hun er, over den udtalelse, som står i forslaget, og jeg forstår ikke, hvad det er for en ligestilling, man hentyder til.
5594	Altså, vi opfatter os slet ikke som en del af det danske militær – og heller ikke, at det danske militær er en del af det færøske samfund.
5595	Det er to helt forskellige enheder.
5596	Og i forsvarspolitisk og sikkerhedspolitisk sammenhæng har vi ualmindelig lille indflydelse på den danske politik.
5597	Spørgeren.
5598	Hvis man fra regeringens side mener, at folketingsmandaterne skal inddrages i det, må man i det mindste rette henvendelse til landenes regeringer for at høre deres input til forliget.
5599	Hvad mener du om det?
5600	Ordføreren.
5601	Tak til ordføreren.
5602	Af hensyn til den videre debat skal jeg minde om, at forslaget rent faktisk drejer sig om spørgsmålet om værnepligt og ikke alle andre sider af forsvarspolitikken.
5603	Så det er blot sådan, for at det ikke kører helt af sporet fremadrettet, en venlig henstilling.
5604	Så er den næste ordfører hr. Sjúrður Skaale.
5605	Værsgo.
5606	Tak for det.
5607	Jeg vil ikke være så bombastisk og så kategorisk, men i dag vil jeg dog lægge mig lidt tæt op ad min gode kollega, hr. Magni Arge.
5608	Det kan ikke undgås.
5609	Jeg synes, det er så fint, at Dansk Folkeparti tør tage ting op, der ofte ligger under en dyne af angst for at sige noget, der kan fornærme Nordatlanten eller virke stødende.
5610	Men man udviser større respekt ved at sige tingene direkte og ligeud, sige sin ærlige mening, end ved at tie for at undgå en konfrontation.
5611	Men i det her tilfælde er præmisserne altså forkerte.
5612	Den første er, at de tre dele af rigsfællesskabet er ligestillet, og det må i dagens politiske terminologi komme under den alternative faktor.
5613	For når det gælder sikkerheds- og forsvarspolitikken, har Færøerne intet at skulle have sagt.
5614	Men burde også vide, at da Danmark i 2003 drog i krig sammen med USA, blev sagen behandlet i Lagtinget, og et stort flertal erklærede, at man var imod det.
5615	Men det havde overhovedet ikke nogen indflydelse på noget som helst, for der er ikke nogen ligestilling.
5616	Hvis det var sådan, at Færøerne havde et ord at skulle have sagt på dette område, så ville det være helt naturligt, synes jeg, at man bidrog, både med værnepligt og budgetmæssigt.
5617	Personligt vil jeg understrege, at jeg næsten altid er fuldstændig enig i de beslutninger, som regeringen træffer på det her område.
5618	Når der er krigsdeltagelse osv., støtter jeg det personligt, men rettigheder og pligter må altså følges ad.
5619	Hvis vi bliver lidt teoretiske, er krig jo udenrigspolitikkens ekstreme udtryk, og der findes altså eksempler på, at færøske og danske udenrigspolitiske interesser er forskellige.
5620	Det har der været meget debat om de sidste par år, og det burde man også vide.
5621	Forslagets anden præmis er, at da Færøerne ønsker mere selvstændighed, bør den færøske befolkning selv bidrage til redningsberedskabet ved Færøerne.
5622	Undskyld, jeg siger det – og nu må jeg gentage, hvad min kollega sagde – men her grænser forslagsstillernes uvidenhed altså til det pinlige.
5623	Beredskabet er et færøsk anliggende.
5624	Der er færøske skibe, færøske helikoptere, færøsk bemanding og færøsk finansiering.
5625	Der er også altid mindst et dansk militært skib på Færøerne, som er klar til at bidrage og gør det, og tak for det.
5626	Det foregår i et meget fint og smukt dansk-færøsk samarbejde, men det er altså under færøsk ledelse.
5627	Overordnet synes jeg, det er meget fint, at det her emne bliver taget op.
5628	Jeg synes selv, der på Færøerne mangler en bevidsthed om, at friheden koster.
5629	Jeg synes, der mangler en bevidsthed om, at den dag, der ikke er nogen fra Vesten, der trækker en militæruniform ned over hovedet, så er friheden væk.
5630	Derfor har jeg selv været meget engageret i forholdene for de ikke så få færinger, som har gjort frivillig tjeneste i den danske her.
5631	Dem er jeg meget stolt af.
5632	Når riget drager i krig, bliver hele riget inddraget, bliver krigsførende.
5633	Det har naturligvis betydning for Færøerne, men der er hverken medinddragelse eller medindflydelse.
5634	I 2014 sagde Dansk Folkepartis formand, at Danmark skal være parat til at give rigsfællesskabet fornyet energi og fornyet bevågenhed.
5635	Hvis man mente det, kunne man arbejde for, at erklæringen fra 2005 blev håndhævet.
5636	I stedet vil man nu have færøsk bidrag uden færøsk indflydelse.
5637	Hvis dette forslag blev vedtaget, kunne man helt sikkert få ny energi og øget bevågenhed, men ikke af den positive slags, som Kristian Thulesen Dahl talte om.
5638	Fokus ville tværtimod blive på de ujævne forhold og den manglende ligestilling i rigsfællesskabet.
5639	Realistisk set vil der selvfølgelig aldrig kunne være en reel ligestilling mellem rigets tre lande på dette område.
5640	Dertil er forskellen i størrelse naturligvis alt for stor.
5641	Men hvis Færøerne, i hvert fald som en begyndelse, kunne få udtrykt sin formelle mening, når Danmark drager i krig, så ville det være et fremskridt.
5642	Nu fremgår det af en beslutning, hvilke danske partier der støtter det, og hvilke der er imod.
5643	Hvis vi om ikke andet kunne få en ordning, hvoraf det fremgik, om Færøerne støttede eller ikke støttede en konkret aktion, så ville vi nærme os Famjinerklæringens formål.
5644	Det ville ikke have konkret betydning, men det ville have moralsk og politisk betydning.
5645	Det har det jo.
5646	Det kan man se af, hvor mange gange de partier, som var imod beslutningerne i 2002 og 2003, tager dette frem i debatten.
5647	Tak til ordføreren.
5648	Den næste er fru Aaja Chemnitz Larsen.
5649	Nu ved jeg, mine færøske kollegaer skal skynde sig videre til Færøerne, så vi tillod, at de fik lov til at komme på først.
5650	Jeg vil gerne starte med at sige tak til forslagsstilleren, for jeg er egentlig glad for, selv om der ser ud til ikke at være opbakning, at vi har den her debat.
5651	Jeg synes, det er rigtig vigtigt, at vi drøfter nogle af de ting, som kan være svære at drøfte.
5652	Fra Inuit Ataqatigiits side ønsker vi, at flere grønlændere, end tilfældet er i dag, bliver inddraget i forsvarets opgaveløsning fremadrettet.
5653	Man kan gøre det på mange forskellige måder, bl.a. gennem forsvarets informationsdage, som forsvarsministeren også var inde på tidligere.
5654	Der kunne godt være en mulighed for, at dem, der er interesseret i at uddanne sig og blive fastansat i forsvaret, fik nogle bedre muligheder.
5655	Vi mener ikke fra Inuit Ataqatigiits side, at der skal være værnepligt, men er villige til at diskutere nogle andre områder, hvor vi kan sikre en styrket involvering af den grønlandske befolkning.
5656	Politisk mener vi også, at Grønland skal repræsenteres i det kommende forsvarsforlig, særlig i den del, der handler om Grønland og Arktis, så vi kan sikre, at Grønland bliver hørt.
5657	Det er vigtigt og til gavn for alle, at den viden, som vi har, er med til at sikre, at de penge, vi bruger på forsvaret, når derud, hvor de kan gøre allerstørst gavn.
5658	Det kan vi være med til at gøre, når det gælder Grønland.
5659	Vi mener også, det er rigtig vigtigt, at Inuit Ataqatigiit bliver hørt, når Danmark på vegne af rigsfællesskabet går i krig.
5660	For os er det rigtig, rigtig vigtigt, at man i Grønland ønsker fred.
5661	Vi vil rigtig gerne have fred, vi vil rigtig gerne bevare et lavspændingsområde, som den arktiske region er i dag.
5662	Det er et klart mål både for Grønland, men også for Inuit Ataqatigiit, at det bliver med ved med at være sådan.
5663	Vi har hverken tradition eller et ønske om at intensivere spændingen i Arktis.
5664	Hos Inuit Ataqatigiit mener vi samtidig, at det er vigtigt, at vi er beredte og opmærksomme på den udvikling, der er i Arktis.
5665	Fra Inuit Ataqatigiits side har vi derfor været optaget af at sikre en større inddragelse af den grønlandske befolkning i opgaverne i Arktisk Kommando.
5666	Noget af det, vi bl.a. har arbejdet for, er et frivilligt beredskab, så man gør brug af de mange grønlændere, som allerede er i fjordene, og som færdes i den natur, som vi kender allerbedst.
5667	Mange grønlændere har både snescooter og atv, og mange grønlændere vil rigtig gerne bidrage med den viden, de har, og bidrager allerede den dag i dag.
5668	Arktisk Kommando har i dag meget få grønlændere ansat, og det så vi fra Inuit Ataqatigiits side gerne ændret.
5669	Men det behøver man ikke at indføre værnepligt for at sikre.
5670	Det kan man godt gøre på andre måder.
5671	Via forsvarets informationsdage kunne man være med til at tiltrække nogle flere grønlændere.
5672	Det handler også om at skabe nogle bedre muligheder for transport.
5673	I dag bliver der afsat 500 kr., og kommer man fra Grønland, ved man, at det altså ikke rækker særlig langt, hvis man skal fra Grønland til Danmark.
5674	Personligt mener jeg også, det handler om at bygge nogle kompetencer op, som der er behov for i Grønland.
5675	Jeg synes, det er vigtigt at understrege, at når man er på mission på indlandsisen i 30 graders frost, kan det ikke sammenlignes med at være på mission på en mark i Danmark.
5676	Derfor mener jeg også, at indsatserne i Grønland og Arktis skal målrettes og udvikles netop i Grønland og Arktis.
5677	Det er vigtigt, at denne debat også bliver taget i Grønland.
5678	Derudover har vi sammen med Alternativet arrangeret en politikmik, som foregik i Nuuk i sidste uge, og i maj måned vil vi holde det samme i Sisimiut.
5679	Det er, fordi vi mener, det er vigtigt at have debatten i Grønland og høre, hvad befolkningen er optaget af i Grønland.
5680	På samme måde har vi også haft en debat på de sociale medier, hvor vi har fået indput om værnepligt.
5681	Hvad mener folk egentlig? Og vi har fået generel input om forsvarsområdet.
5682	Jeg ser frem til debatten, og som sagt vil vi i Inuit Ataqatigiit meget gerne deltage i det kommende forsvarsforlig, som kommer her i efteråret.
5683	Mange tak.
5684	Tak til ordføreren.
5685	Så er det fru Aleqa Hammond.
5686	Værsgo.
5687	Tak.
5688	Grønlænderne er et folk, der aldrig er gået i krig mod et andet folk og land.
5689	Vi har bestemt heller ikke tænkt os at begynde på det.
5690	Den lov fungerer udmærket, mener jeg.
5691	Hvis Danmark ønsker at have militær, have værnepligt eller gå i krig, er det deres suveræne ret til selv at bestemme og prioritere.
5692	Grønland er en del af Danmark og må til enhver tid have dette in mente, når Danmark vælger at være en del af en konflikt i verden, hvor der er krige at bekæmpe.
5693	Det er en realitet, som rammer Grønland og Grønlands forbindelser i verden.
5694	Denne indsats kan være af enten militær eller civil karakter, og enhver ung mand eller kvinde i samfundet bør yde sit.
5695	Militær er mange ting og ikke bare krig.
5696	Militærets tilstedeværelse i Grønland antager forskellige former.
5697	Den amerikanske militære tilstedeværelse nævner jeg i første omgang ikke i det her ordførerindlæg, eftersom jeg mener, at det ikke hører ind under beslutningsforslaget.
5698	Når det er sagt, vil jeg sige, at Arktisk Kommando har mange opgaver, der skal løses hos os gennem civil samfundspligt.
5699	Derfor mener jeg, at pilotprojekterne er vigtige og vejen frem for et større engagement i vores samfundspligter.
5700	Fiskeriinspektion samt suverænitetshåndhævelse, Siriuspatruljen samt beredskabet er de områder, jeg ser som indsatsområder til større deltagelse og fokus.
5701	En ordning med frivillig civil samfundstjeneste i et tæt samarbejde med selvstyret er et godt initiativ, som på sin vis understøtter anbefalingerne fra Selvstyrekommissionen.
5702	Denne ønsker man styrket, og man ønsker pilotinitiativerne udvidet.
5703	Værnepligt på lige fod med alle andre i Danmark siger jeg nej tak til.
5704	Jeg mener ikke, at man ved pligt i dag skal lade unge grønlændere forsvare danske interesser rundtomkring i verden, når de vælger at være en del af en krig.
5705	Som sagt er den nuværende lov om værnepligt udmærket, som den er.
5706	Den frivillige tilgang til at kunne være en del af værnet i dag er allerede en mulighed.
5707	Pilotprojekterne med at inddrage de grønlandske unge i Arktisk Kommandos opgaver er vejen frem baseret på et frivilligt valg.
5708	Det viser erfaringerne fra forsvarets dag i Grønland, og her mener jeg at der er potentiale til et yderligere udvidet godt samarbejde.
5709	Jeg støtter ikke beslutningsforslaget.
5710	Tak til ordføreren.
5711	Så er vi nået til ordføreren for forslagsstillerne.
5712	Det er fru Marie Krarup, Dansk Folkeparti.
5713	Der er værnepligt for alle mænd i Danmark.
5714	Danske mænd med fast ophold i Danmark bliver automatisk indkaldt til forsvarets dag det år, hvor de fylder 18 år.
5715	Mænd, der bor i Grønland eller Færøerne, skal til gengæld ikke aftjene værnepligt.
5716	Bestemmelsen om, at færøske og grønlandske mænd ikke skal aftjene værnepligt, stammer helt tilbage fra de allertidligste værnepligtslove.
5717	Men der er sket rigtig meget siden da, og især i de seneste år har de to samfund oplevet en rivende udvikling med selvstyre og hjemtagelse at stadig flere sagsområder.
5718	Set i lyset af den udvikling mener vi i Dansk Folkeparti, at det ikke længere giver mening, at grønlandske og færøske mænd skal være fritaget for værnepligt.
5719	Vi bør i dag have ligestilling, hvad angår værnepligt.
5720	Alle tre befolkningsgrupper i rigsfællesskabet bør være en del af forsvaret og beredskabet.
5721	Det blev bl.a. fremhævet af Selvstyrekommissionen, der i april 2003 afgav rapport om selvstyre i Grønland.
5722	Den anbefaling følges op i Forsvarsministeriets analyse om Arktis fra juni 2016.
5723	Analysen peger på, at der er et uudnyttet potentiale for ansættelse og involvering af den grønlandske befolkning til løsning af forsvars- og beredskabsopgaver.
5724	Analysen anbefaler, at der iværksættes en række pilotprojekter, og at forskellige elementer af forsvarets uddannelser etableres i Grønland.
5725	Viljen til at deltage i forsvaret er da også til stede i Grønland.
5726	Det ses i den store interesse, der har været i Grønland for at møde op til den tillempede version af forsvarets dag, som har været gennemført i 2015 og 2016.
5727	Denne analyse gælder naturligvis også for Færøernes, selv om der faktisk er en mere udbredt praksis blandt unge færinger om at rejse til Danmark og tage en uddannelse i forsvaret.
5728	I den forbindelse er værnepligten en glimrende rekrutteringsmekanisme til forsvaret og redningsberedskabet.
5729	De økonomiske konsekvenser af forslaget her er ret begrænsede.
5730	Forsvarsministeren har vurderet, at det vil koste omkring 1,5-3,6 mio. kr.
5731	Dette beløb og debatten om den nærmere udformning af, hvordan man kunne virkeliggøre forslaget, ville kunne indgå i forhandlingerne om det næste forsvarsforlig.
5732	Jeg vil gerne takke for de kommentarer, der er kommet til forslaget her.
5733	Jeg ser frem til at tage det op igen i forbindelse med forhandlingerne om forsvarsforliget, men jeg vil godt lige kommentere det, der er blevet sagt af de nordatlantiske medlemmer.
5734	Der er jo tale om, at der er indflydelse på dansk sikkerhedspolitik fra færøsk og grønlandsk side.
5735	Vi har lige præcis nordatlantiske mandater her i Tinget, for at man kan være med til at stemme om udsendelse af danske bidrag i militærmissioner.
5736	Så der er politisk indflydelse på Danmarks sikkerhedspolitik, og jeg kunne forestille mig, at forsvarsministeren også vil være positiv over for en tæt konsultering af de nordatlantiske mandater.
5737	Det vil jeg i hvert fald selv anbefale i forbindelse med beslutninger i forsvarsforligsforhandlingerne, der involverer grønlandsk og færøsk territorium.
5738	Det ville da være helt naturligt.
5739	Så hvis det ikke allerede er tilfældet, vil vi fra vores side absolut anbefale det.
5740	Tak for ordet.
5741	Tak.
5742	Der er et par spørgere.
5743	Den første er fru Aaja Chemnitz Larsen.
5744	Mange tak til ordføreren.
5745	Det synes jeg er vigtigt at huske på.Vi mener i Inuit Ataqatigiit sådan set også, at det for rigtig mange unge grønlændere vil være rigtig godt at få en uddannelse i forsvaret.
5746	Jeg mener, der er rigtig mange gode kompetencer, som man får med sig.
5747	Og der valgte man jo ikke at afsætte nogle penge til en militær grunduddannelse.
5748	Så man kan godt undre sig over, hvorfor man ønsker en værnepligt, men ikke ønsker at støtte, at der er en militær grunduddannelse i Grønland.
5749	Ordføreren.
5750	Det er selvfølgelig et politisk problem.
5751	Men det er jo ikke noget, vi kan løse her.
5752	Vi har de her mandater, og det er sådan set meningen, at de skal være repræsentative.
5753	Så kan der være nogle særlige forhold, der gør, at det nogle gange ikke er sådan.
5754	Men ellers er der jo mulighed for indflydelse her i Folketinget via de mandater.
5755	Spørgeren.
5756	Vi gør bestemt også brug af den indflydelse, som vi har fra Inuit Ataqatigiit.
5757	Jeg synes bare, det er vigtigt at minde om, at det nu engang er sådan, realiteterne er.
5758	Med hensyn til en forsvarsuddannelse i Grønland er det jo sådan, at man i forsvarsforligskredsen ikke har afsat penge til det her.
5759	Og jeg synes i virkeligheden, at det er et godt eksempel på, hvor meget det giver god mening, at vi sidder med med den viden, som vi nu engang har, om, hvad det er, der er behov for i Grønland.
5760	Det synes vi fra Inuit Ataqatigiit er en god vej at gå.
5761	Ordføreren.
5762	Tak.
5763	Jamen, altså, der er ikke sat penge af endnu, det er jo rigtigt.
5764	Men det er, fordi det jo skal indgå eller kan indgå i forhandlingen af det næste forsvarsforlig.
5765	Det er jo sådan, at vi aftaler budgetterne for forsvaret for 5 år ad gangen, og nu kommer det her forslag lige før en ny forsvarsforligsforhandling.
5766	Der er selvfølgelig den bagtanke med det her, at vi netop gerne ser, at det bliver taget op i forsvarsforligsforhandlingerne.
5767	Så det er klart, at pengene jo ikke er afsat nu, men det er det, vi foreslår at de bliver.
5768	Så der er en rigtig god sammenhæng imellem værnepligt og så frivillighed senere hen.
5769	Og det er en af de ting, vi meget gerne vil styrke med det her forslag.
5770	Den næste spørger er fru Aleqa Hammond.
5771	Jeg vil starte med at sige, at det grønlandske samfund og den grønlandske befolkning allerede tager meget stor aktivt del i mange af de opgaver, som Forsvaret har i Grønland.
5772	Det være sig vores brandfolk, vores politi, vores fiskertrawlere og Air Greenlands helikoptere og deslige, som understøtter forsvarsopgaven i form af SAR-beredskabet.
5773	Så i den her sammenhæng må jeg sige, at den grønlandske befolkning naturligvis står sammen om at støtte op om SAR-beredskabet.
5774	Vi siger ikke, hvis ansvar det er, for alle tager aktivt del i det.
5775	Sådan er det i den grønlandske virkelighed.
5776	Når det er sagt, vil jeg spørge om en af de ting, som du bruger som argumentation for forslaget, nemlig at Grønland fremover ønsker at hjemtage ansvaret på forsvarsområdet.
5777	Hvad bygger du det på? Mener forslagsstilleren, at Grønland har tænkt sig at indføre militær efter indførelsen af selvstændighed?
5778	Ordføreren.
5779	Der er det da helt åbenlyst, at det vil være et godt område for grønlændere og færinger selv at bidrage mere til Forsvarets opgaveløsning.
5780	Så der er simpelt hen behov for flere, der har bedre kendskab til området og områdets kultur.
5781	Spørgeren.
5782	Det fungerer jo i forvejen udmærket på frivillig basis og som et frivilligt valg til at tage en uddannelse i Forsvaret.
5783	Hvad er det, der får dig til at tro, at der skal pligt med ind i det her?
5784	Ordføreren.
5785	Det er for at give alle grønlændere og færinger den mulighed på lige vilkår med danskerne.
5786	De skal ikke være second class eller gratister.
5787	De skal have samme mulighed for at deltage som resten af kongerigets befolkning.
5788	Det er det, som vi synes er en god idé i respekt for grønlændere og færinger.
5789	De skal have lige så meget mulighed for det.
5790	Næste spørger er hr. Magni Arge.
5791	Værsgo. 
5792	Tak.
5793	Jeg forstår slet ikke ambitionen, som fru Marie Krarup har.
5794	Altså, man skal bruge nogle kræfter på sit eget beredskab, og man skal sørge for at have en ordentlig bevogtning osv.
5795	Vi har alle de ting i forvejen, vi betaler for det selv, vi træner vores egne folk, vi er også skidehamrende dygtige til det; nogle af de bedste i Nordatlanten og i Arktis i det hele taget.
5796	Jeg forstår ikke, at vi skulle have så meget brug for at være med i det danske militær.
5797	Men til gengæld har vi overhovedet ikke noget imod at have et samarbejde med andre aktører, som også er i Nordatlanten, for det er nogle store opgaver, der skal løses beredskabsmæssigt.
5798	Og der synes jeg man i høj grad skal tage udgangspunkt i, hvad det er for nogle behov, man har på Færøerne og i Grønland og hos vores naboer i Island f.eks.
5799	For det er nogle kæmpestore havområder og udfordringer, vi står over for.
5800	Det kræver, at man bruger hovedet og gør tingene så fornuftigt som muligt ud fra de udfordringer, som jo er i det område, hvor vi bevæger os.
5801	Det er ikke et spørgsmål om at få det til at passe ind i en eller anden enhedsstatstænkning nede i Danmark. 
5802	Ordføreren.
5803	Jeg forstår ikke, hvorfor man ikke ønsker ligestilling, hvis man ønsker ansvar.
5804	Der er endda nogle, der drømmer om selvstændighed, og så forstår jeg ikke, hvorfor man ikke også ønsker at bidrage til at sikre freden og forsvarets opgaveløsning i det nordatlantiske område.
5805	Det må jeg indrømme at jeg står helt uforstående over for.
5806	Det er da lige så meget til gavn og glæde for Færøerne, som det er for resten af kongeriget, at opretholde freden.
5807	Så det er da kun danske personers opgave at fastholde det.
5808	Det er da også noget, som grønlændere og færinger burde bidrage til på samme vilkår som danskere.
5809	Spørgeren.
5810	Jeg har jo netop forklaret, at opgaveløsningen i høj grad allerede pågår og foretages af de færøske etater, som beskæftiger sig med beredskabet både til søs, i luften og på land.
5811	Når det handler om opretholdelse af freden i det nordatlantiske område, må jeg sige, at vi faktisk sjældent haft noget dansk forsvar på Færøerne.
5812	Og i øjeblikket udgør forsvaret 4-5 personer på et kontor i vores vagt- og redningstjenestesbygning.
5813	Det er sådan cirka det, vi har.
5814	Man har aldrig haft et dansk forsvar på Færøerne, som har været effektivt, og vistnok heller ikke i Grønland.
5815	Og jeg synes, at vi på fornuftig vis skal deltage i det arbejde med det bidrag, vi kan give, uden nødvendigvis at være aggressivt krigsførende.
5816	Og det kan vi sagtens i forhold til surveillance, og vi kan gøre det med search and rescue osv. 
